vcc	V(vce)	I(R1)
Step Information: Vbb=800m  (Run: 1/4)
7.999999999999988e+000	2.126852e-001	7.787315e-003
8.099999999999987e+000	2.313158e-001	7.868684e-003
8.199999999999987e+000	2.657169e-001	7.934283e-003
8.299999999999987e+000	3.328515e-001	7.967149e-003
8.399999999999986e+000	4.177327e-001	7.982267e-003
8.499999999999986e+000	5.044709e-001	7.995529e-003
8.599999999999985e+000	5.912623e-001	8.008738e-003
8.699999999999985e+000	6.780581e-001	8.021941e-003
8.799999999999985e+000	7.648543e-001	8.035146e-003
8.899999999999984e+000	8.516507e-001	8.048349e-003
8.999999999999984e+000	9.384472e-001	8.061552e-003
9.099999999999984e+000	1.025244e+000	8.074756e-003
9.199999999999983e+000	1.112041e+000	8.087959e-003
9.299999999999983e+000	1.198837e+000	8.101163e-003
9.399999999999983e+000	1.285634e+000	8.114366e-003
9.499999999999982e+000	1.372432e+000	8.127568e-003
9.599999999999982e+000	1.459229e+000	8.140771e-003
9.699999999999982e+000	1.546026e+000	8.153974e-003
9.799999999999981e+000	1.632824e+000	8.167177e-003
9.899999999999981e+000	1.719622e+000	8.180378e-003
9.999999999999981e+000	1.806419e+000	8.193580e-003
1.009999999999998e+001	1.893217e+000	8.206783e-003
1.019999999999998e+001	1.980016e+000	8.219984e-003
1.029999999999998e+001	2.066814e+000	8.233186e-003
1.039999999999998e+001	2.153612e+000	8.246387e-003
1.049999999999998e+001	2.240411e+000	8.259589e-003
1.059999999999998e+001	2.327209e+000	8.272790e-003
1.069999999999998e+001	2.414008e+000	8.285992e-003
1.079999999999998e+001	2.500807e+000	8.299193e-003
1.089999999999998e+001	2.587606e+000	8.312394e-003
1.099999999999998e+001	2.674405e+000	8.325594e-003
1.109999999999998e+001	2.761205e+000	8.338795e-003
1.119999999999998e+001	2.848004e+000	8.351996e-003
1.129999999999998e+001	2.934804e+000	8.365196e-003
1.139999999999998e+001	3.021604e+000	8.378397e-003
1.149999999999998e+001	3.108403e+000	8.391596e-003
1.159999999999998e+001	3.195204e+000	8.404797e-003
1.169999999999997e+001	3.282004e+000	8.417997e-003
1.179999999999997e+001	3.368804e+000	8.431196e-003
1.189999999999997e+001	3.455604e+000	8.444396e-003
1.200000000000000e+001	3.542405e+000	8.457595e-003
Step Information: Vbb=1.4  (Run: 4/4)
0.000000000000000e+000	-2.054002e-003	2.054002e-006
1.000000000000000e-001	5.882055e-003	9.411795e-005
2.000000000000000e-001	1.227386e-002	1.877261e-004
3.000000000000000e-001	1.763164e-002	2.823684e-004
4.000000000000000e-001	2.226213e-002	3.777379e-004
5.000000000000000e-001	2.632958e-002	4.736704e-004
6.000000000000000e-001	2.997348e-002	5.700265e-004
7.000000000000000e-001	3.328108e-002	6.667189e-004
7.999999999999999e-001	3.631493e-002	7.636851e-004
8.999999999999999e-001	3.912214e-002	8.608779e-004
9.999999999999999e-001	4.173887e-002	9.582611e-004
1.100000000000000e+000	4.419347e-002	1.055807e-003
1.200000000000000e+000	4.650854e-002	1.153491e-003
1.300000000000000e+000	4.870243e-002	1.251298e-003
1.400000000000000e+000	5.079017e-002	1.349210e-003
1.500000000000000e+000	5.278428e-002	1.447216e-003
1.600000000000000e+000	5.469526e-002	1.545305e-003
1.700000000000000e+000	5.653204e-002	1.643468e-003
1.800000000000001e+000	5.830226e-002	1.741698e-003
1.900000000000001e+000	6.001249e-002	1.839987e-003
2.000000000000000e+000	6.166846e-002	1.938332e-003
2.100000000000001e+000	6.327518e-002	2.036725e-003
2.200000000000001e+000	6.483706e-002	2.135163e-003
2.300000000000001e+000	6.635799e-002	2.233642e-003
2.400000000000001e+000	6.784146e-002	2.332159e-003
2.500000000000001e+000	6.929055e-002	2.430710e-003
2.600000000000001e+000	7.070807e-002	2.529292e-003
2.700000000000001e+000	7.209654e-002	2.627903e-003
2.800000000000001e+000	7.345823e-002	2.726542e-003
2.900000000000001e+000	7.479524e-002	2.825205e-003
3.000000000000001e+000	7.610946e-002	2.923890e-003
3.100000000000001e+000	7.740263e-002	3.022597e-003
3.200000000000002e+000	7.867637e-002	3.121324e-003
3.300000000000002e+000	7.993214e-002	3.220068e-003
3.400000000000002e+000	8.117134e-002	3.318829e-003
3.500000000000002e+000	8.239524e-002	3.417605e-003
3.600000000000002e+000	8.360504e-002	3.516395e-003
3.700000000000002e+000	8.480187e-002	3.615198e-003
3.800000000000002e+000	8.598677e-002	3.714013e-003
3.900000000000002e+000	8.716074e-002	3.812839e-003
4.000000000000002e+000	8.832472e-002	3.911675e-003
4.100000000000001e+000	8.947960e-002	4.010520e-003
4.200000000000001e+000	9.062625e-002	4.109374e-003
4.300000000000001e+000	9.176547e-002	4.208235e-003
4.400000000000000e+000	9.289806e-002	4.307102e-003
4.500000000000000e+000	9.402475e-002	4.405975e-003
4.600000000000000e+000	9.514629e-002	4.504854e-003
4.699999999999999e+000	9.626339e-002	4.603737e-003
4.799999999999999e+000	9.737673e-002	4.702623e-003
4.899999999999999e+000	9.848697e-002	4.801513e-003
4.999999999999998e+000	9.959481e-002	4.900405e-003
5.099999999999998e+000	1.007009e-001	4.999299e-003
5.199999999999998e+000	1.018058e-001	5.098194e-003
5.299999999999997e+000	1.029103e-001	5.197090e-003
5.399999999999997e+000	1.040149e-001	5.295985e-003
5.499999999999996e+000	1.051203e-001	5.394880e-003
5.599999999999996e+000	1.062272e-001	5.493773e-003
5.699999999999996e+000	1.073361e-001	5.592664e-003
5.799999999999995e+000	1.084478e-001	5.691552e-003
5.899999999999995e+000	1.095628e-001	5.790437e-003
5.999999999999995e+000	1.106820e-001	5.889318e-003
6.099999999999994e+000	1.118059e-001	5.988194e-003
6.199999999999994e+000	1.129353e-001	6.087065e-003
6.299999999999994e+000	1.140710e-001	6.185929e-003
6.399999999999993e+000	1.152136e-001	6.284786e-003
6.499999999999993e+000	1.163640e-001	6.383636e-003
6.599999999999993e+000	1.175230e-001	6.482477e-003
6.699999999999992e+000	1.186915e-001	6.581308e-003
6.799999999999992e+000	1.198703e-001	6.680130e-003
6.899999999999992e+000	1.210604e-001	6.778940e-003
6.999999999999991e+000	1.222629e-001	6.877737e-003
